env,seed,lam,delta_exact,delta_learned,eps_score,delta_M,exact_decision,learned_decision,preserved
Env1_DoorKey-Lava,0,0.102,0.0027930179999999666,-0.0063358698760415735,-0.00912888787604154,0.0027930179999999666,decoy,safe,False
Env1_DoorKey-Lava,0,0.103,0.002261576999999966,-0.006858276919523294,-0.00911985391952326,0.002261576999999966,decoy,safe,False
Env1_DoorKey-Lava,0,0.104,0.0017301359999999655,-0.007380683963005008,-0.009110819963004974,0.0017301359999999655,decoy,safe,False
Env1_DoorKey-Lava,0,0.105,0.001198694999999965,-0.007903091006486722,-0.009101786006486687,0.001198694999999965,decoy,safe,False
Env1_DoorKey-Lava,0,0.106,0.0006672539999999644,-0.008425498049968443,-0.009092752049968407,0.0006672539999999644,decoy,safe,False
Env1_DoorKey-Lava,0,0.107,0.00013581299999996382,-0.008947905093450156,-0.00908371809345012,0.00013581299999996382,decoy,safe,False
Env1_DoorKey-Lava,0,0.108,-0.00039562800000003673,-0.009470312136931877,-0.00907468413693184,-0.00039562800000003673,safe,safe,True
Env1_DoorKey-Lava,0,0.109,-0.0009270690000000373,-0.009992719180413591,-0.009065650180413554,-0.0009270690000000373,safe,safe,True
Env1_DoorKey-Lava,0,0.11,-0.0014585100000000378,-0.010515126223895305,-0.009056616223895267,-0.0014585100000000378,safe,safe,True
Env1_DoorKey-Lava,0,0.111,-0.0019899510000000384,-0.011037533267377025,-0.009047582267376987,-0.0019899510000000384,safe,safe,True
Env1_DoorKey-Lava,0,0.112,-0.002521392000000039,-0.01155994031085874,-0.0090385483108587,-0.002521392000000039,safe,safe,True
Env1_DoorKey-Lava,0,0.113,-0.0030528330000000395,-0.012082347354340453,-0.009029514354340414,-0.0030528330000000395,safe,safe,True
Env1_DoorKey-Lava,0,0.114,-0.00358427400000004,-0.012604754397822174,-0.009020480397822134,-0.00358427400000004,safe,safe,True
Env1_DoorKey-Lava,0,0.115,-0.004115715000000041,-0.013127161441303888,-0.009011446441303847,-0.004115715000000041,safe,safe,True
