env,seed,lam,lam_min_hat,lam_star,lam_over_lam_min,a_decoy,action_chosen,is_safe_action,achieved_return_irr_twin
Env1_DoorKey-Lava,2,1.4500000000000002,0.08987177555299686,0.09,16.13409761939046,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,1.5,0.08987177555299686,0.09,16.69044581316254,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.0,0.113240905756104,0.114,0.0,N,N,False,0.3
Env2_Sokoban-barrier,0,0.05,0.113240905756104,0.114,0.4415365601869081,N,N,False,0.3
Env2_Sokoban-barrier,0,0.1,0.113240905756104,0.114,0.8830731203738162,N,N,False,0.3
Env2_Sokoban-barrier,0,0.15000000000000002,0.113240905756104,0.114,1.3246096805607244,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.2,0.113240905756104,0.114,1.7661462407476325,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.25,0.113240905756104,0.114,2.2076828009345406,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.30000000000000004,0.113240905756104,0.114,2.6492193611214487,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.35000000000000003,0.113240905756104,0.114,3.090755921308357,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.4,0.113240905756104,0.114,3.532292481495265,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.45,0.113240905756104,0.114,3.9738290416821727,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.5,0.113240905756104,0.114,4.415365601869081,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.55,0.113240905756104,0.114,4.856902162055989,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.6000000000000001,0.113240905756104,0.114,5.2984387222428975,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.65,0.113240905756104,0.114,5.739975282429805,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.7000000000000001,0.113240905756104,0.114,6.181511842616714,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.75,0.113240905756104,0.114,6.623048402803621,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.8,0.113240905756104,0.114,7.06458496299053,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.8500000000000001,0.113240905756104,0.114,7.5061215231774385,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.9,0.113240905756104,0.114,7.947658083364345,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.9500000000000001,0.113240905756104,0.114,8.389194643551255,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.0,0.113240905756104,0.114,8.830731203738162,N,E,True,0.5904900000000002
