seed,lam,delta_exact,delta_learned,eps_score,delta_M,exact_decision,learned_decision,score_error,exact_margin,within_margin,preserved
2,1.1500000000000001,-0.5611571500000001,-0.5698683868631806,-0.008711236863180538,-0.5611571500000001,safe,safe,0.008711236863180538,0.5611571500000001,True,True
2,1.2000000000000002,-0.5877292000000001,-0.5964347560682788,-0.00870555606827872,-0.5877292000000001,safe,safe,0.00870555606827872,0.5877292000000001,True,True
2,1.25,-0.61430125,-0.6230011252733769,-0.0086998752733769,-0.61430125,safe,safe,0.0086998752733769,0.61430125,True,True
2,1.3,-0.6408733000000002,-0.6495674944784751,-0.00869419447847486,-0.6408733000000002,safe,safe,0.00869419447847486,0.6408733000000002,True,True
2,1.35,-0.6674453500000002,-0.6761338636835733,-0.008688513683573151,-0.6674453500000002,safe,safe,0.008688513683573151,0.6674453500000002,True,True
2,1.4000000000000001,-0.6940174000000001,-0.7027002328886716,-0.008682832888671443,-0.6940174000000001,safe,safe,0.008682832888671443,0.6940174000000001,True,True
2,1.4500000000000002,-0.7205894500000001,-0.7292666020937697,-0.008677152093769624,-0.7205894500000001,safe,safe,0.008677152093769624,0.7205894500000001,True,True
2,1.5,-0.7471615,-0.7558329712988676,-0.008671471298867583,-0.7471615,safe,safe,0.008671471298867583,0.7471615,True,True
3,0.0,0.04999999999999999,0.06909402573867701,0.019094025738677023,0.04999999999999999,decoy,decoy,0.019094025738677023,0.04999999999999999,True,True
3,0.05,0.023427949999999975,0.042548450832152085,0.01912050083215211,0.023427949999999975,decoy,decoy,0.01912050083215211,0.023427949999999975,True,True
3,0.1,-0.0031441000000000385,0.016002875925627047,0.019146975925627086,-0.0031441000000000385,safe,decoy,0.019146975925627086,0.0031441000000000385,False,False
3,0.15000000000000002,-0.029716149999999997,-0.010542698980897935,0.01917345101910206,-0.029716149999999997,safe,safe,0.01917345101910206,0.029716149999999997,True,True
3,0.2,-0.05628820000000001,-0.03708827388742292,0.019199926112577093,-0.05628820000000001,safe,safe,0.019199926112577093,0.05628820000000001,True,True
3,0.25,-0.08286025000000002,-0.06363384879394784,0.01922640120605218,-0.08286025000000002,safe,safe,0.01922640120605218,0.08286025000000002,True,True
3,0.30000000000000004,-0.10943230000000004,-0.09017942370047288,0.019252876299527155,-0.10943230000000004,safe,safe,0.019252876299527155,0.10943230000000004,True,True
3,0.35000000000000003,-0.13600435000000005,-0.11672499860699781,0.019279351393002242,-0.13600435000000005,safe,safe,0.019279351393002242,0.13600435000000005,True,True
3,0.4,-0.1625764,-0.14327057351352285,0.019305826486477162,-0.1625764,safe,safe,0.019305826486477162,0.1625764,True,True
3,0.45,-0.18914845000000008,-0.16981614842004777,0.019332301579952305,-0.18914845000000008,safe,safe,0.019332301579952305,0.18914845000000008,True,True
3,0.5,-0.21572050000000004,-0.19636172332657276,0.01935877667342728,-0.21572050000000004,safe,safe,0.01935877667342728,0.21572050000000004,True,True
3,0.55,-0.24229255000000005,-0.22290729823309774,0.01938525176690231,-0.24229255000000005,safe,safe,0.01938525176690231,0.24229255000000005,True,True
3,0.6000000000000001,-0.26886460000000006,-0.24945287313962278,0.019411726860377287,-0.26886460000000006,safe,safe,0.019411726860377287,0.26886460000000006,True,True
3,0.65,-0.2954366500000001,-0.27599844804614765,0.01943820195385243,-0.2954366500000001,safe,safe,0.01943820195385243,0.2954366500000001,True,True
3,0.7000000000000001,-0.3220087000000001,-0.3025440229526727,0.019464677047327406,-0.3220087000000001,safe,safe,0.019464677047327406,0.3220087000000001,True,True
3,0.75,-0.34858075000000005,-0.3290895978591976,0.019491152140802437,-0.34858075000000005,safe,safe,0.019491152140802437,0.34858075000000005,True,True
3,0.8,-0.37515280000000006,-0.35563517276572265,0.019517627234277413,-0.37515280000000006,safe,safe,0.019517627234277413,0.37515280000000006,True,True
3,0.8500000000000001,-0.4017248500000001,-0.38218074767224763,0.019544102327752444,-0.4017248500000001,safe,safe,0.019544102327752444,0.4017248500000001,True,True
3,0.9,-0.4282969000000001,-0.40872632257877256,0.01957057742122753,-0.4282969000000001,safe,safe,0.01957057742122753,0.4282969000000001,True,True
3,0.9500000000000001,-0.4548689500000001,-0.43527189748529754,0.019597052514702562,-0.4548689500000001,safe,safe,0.019597052514702562,0.4548689500000001,True,True
3,1.0,-0.48144100000000006,-0.4618174723918225,0.019623527608177538,-0.48144100000000006,safe,safe,0.019623527608177538,0.48144100000000006,True,True
3,1.05,-0.5080130500000002,-0.48836304729834745,0.019650002701652736,-0.5080130500000002,safe,safe,0.019650002701652736,0.5080130500000002,True,True
3,1.1,-0.5345851000000001,-0.5149086222048725,0.0196764777951276,-0.5345851000000001,safe,safe,0.0196764777951276,0.5345851000000001,True,True
3,1.1500000000000001,-0.5611571500000001,-0.5414541971113975,0.019702952888602576,-0.5611571500000001,safe,safe,0.019702952888602576,0.5611571500000001,True,True
3,1.2000000000000002,-0.5877292000000001,-0.5679997720179226,0.01972942798207744,-0.5877292000000001,safe,safe,0.01972942798207744,0.5877292000000001,True,True
3,1.25,-0.61430125,-0.5945453469244474,0.01975590307555264,-0.61430125,safe,safe,0.01975590307555264,0.61430125,True,True
3,1.3,-0.6408733000000002,-0.6210909218309724,0.019782378169027837,-0.6408733000000002,safe,safe,0.019782378169027837,0.6408733000000002,True,True
3,1.35,-0.6674453500000002,-0.6476364967374975,0.0198088532625027,-0.6674453500000002,safe,safe,0.0198088532625027,0.6674453500000002,True,True
3,1.4000000000000001,-0.6940174000000001,-0.6741820716440223,0.019835328355977788,-0.6940174000000001,safe,safe,0.019835328355977788,0.6940174000000001,True,True
3,1.4500000000000002,-0.7205894500000001,-0.7007276465505474,0.019861803449452653,-0.7205894500000001,safe,safe,0.019861803449452653,0.7205894500000001,True,True
3,1.5,-0.7471615,-0.7272732214570723,0.01988827854292774,-0.7471615,safe,safe,0.01988827854292774,0.7471615,True,True
4,0.0,0.04999999999999999,0.07542997570186855,0.025429975701868557,0.04999999999999999,decoy,decoy,0.025429975701868557,0.04999999999999999,True,True
4,0.05,0.023427949999999975,0.04887298684907726,0.025445036849077285,0.023427949999999975,decoy,decoy,0.025445036849077285,0.023427949999999975,False,True
4,0.1,-0.0031441000000000385,0.022315997996285974,0.025460097996286013,-0.0031441000000000385,safe,decoy,0.025460097996286013,0.0031441000000000385,False,False
4,0.15000000000000002,-0.029716149999999997,-0.004240990856505256,0.02547515914349474,-0.029716149999999997,safe,safe,0.02547515914349474,0.029716149999999997,True,True
4,0.2,-0.05628820000000001,-0.03079797970929654,0.02549022029070347,-0.05628820000000001,safe,safe,0.02549022029070347,0.05628820000000001,True,True
4,0.25,-0.08286025000000002,-0.05735496856208783,0.025505281437912197,-0.08286025000000002,safe,safe,0.025505281437912197,0.08286025000000002,True,True
4,0.30000000000000004,-0.10943230000000004,-0.08391195741487911,0.025520342585120925,-0.10943230000000004,safe,safe,0.025520342585120925,0.10943230000000004,True,True
4,0.35000000000000003,-0.13600435000000005,-0.11046894626767034,0.02553540373232971,-0.13600435000000005,safe,safe,0.02553540373232971,0.13600435000000005,True,True
4,0.4,-0.1625764,-0.13702593512046157,0.025550464879538437,-0.1625764,safe,safe,0.025550464879538437,0.1625764,True,True
